student_id,event_timestamp,curriculum_track,python_curriculum,python_industry,sql_curriculum,sql_industry,ml_curriculum,ml_industry,cloud_curriculum,cloud_industry,communication_curriculum,communication_industry,internship_months,projects_completed,certification_count,industry_experience_months,target_readiness
S001,2026-01-05 13:18:00,Data Science,1,1,2,1,2,1,1,2,3,1,0,1,1,14,0
S002,2026-01-08 15:30:00,Cloud Computing,2,3,3,2,3,4,2,1,2,2,5,4,1,13,0
S003,2026-01-11 11:30:00,Artificial Intelligence,3,1,5,3,4,4,4,2,5,5,1,6,0,35,0
S004,2026-01-14 12:01:00,Software Engineering,4,2,3,2,4,2,4,2,5,5,7,5,1,23,0
S005,2026-01-17 16:00:00,Data Science,3,1,3,4,3,2,4,4,3,4,3,5,0,14,0
S006,2026-01-20 10:11:00,Cloud Computing,2,2,2,1,2,3,2,1,3,3,10,7,1,16,0
S007,2026-01-23 14:21:00,Artificial Intelligence,3,4,4,5,4,4,3,2,4,2,12,0,0,9,0
S008,2026-01-26 15:33:00,Software Engineering,4,5,2,2,4,5,4,5,3,4,0,1,4,17,0
S009,2026-01-29 10:18:00,Data Science,3,3,5,4,5,3,4,5,4,5,1,4,4,12,1
S010,2026-02-01 09:40:00,Cloud Computing,4,5,3,4,4,4,3,1,4,4,3,0,1,36,0
S011,2026-02-04 14:43:00,Artificial Intelligence,3,1,2,1,3,4,2,2,3,2,8,3,2,25,0
S012,2026-02-07 09:03:00,Software Engineering,5,5,5,3,4,3,3,3,3,4,8,3,4,14,1
S013,2026-02-10 13:02:00,Data Science,1,1,1,1,2,1,2,2,3,2,8,2,4,36,0
S014,2026-02-13 12:26:00,Cloud Computing,4,4,3,1,2,2,3,3,4,4,11,0,0,3,0
S015,2026-02-16 09:50:00,Artificial Intelligence,3,2,4,3,5,4,5,4,4,4,3,1,3,35,0
S016,2026-02-19 11:15:00,Software Engineering,1,1,2,1,3,3,3,2,3,1,2,6,0,24,0
S017,2026-02-22 13:17:00,Data Science,5,5,5,4,5,5,5,3,4,4,0,0,4,30,0
S018,2026-02-25 14:17:00,Cloud Computing,2,3,2,1,2,3,2,1,4,2,9,3,4,2,0
S019,2026-02-28 16:55:00,Artificial Intelligence,3,4,2,2,2,2,2,2,3,2,10,4,3,20,0
S020,2026-03-03 12:44:00,Software Engineering,1,1,1,1,2,3,2,1,2,1,3,5,2,10,0
S021,2026-03-06 14:51:00,Data Science,3,4,4,2,4,4,3,1,4,4,4,3,2,13,0
S022,2026-03-09 13:42:00,Cloud Computing,5,5,3,1,5,5,3,1,4,3,10,4,1,28,0
S023,2026-03-12 10:47:00,Artificial Intelligence,4,2,4,3,4,4,5,5,5,3,4,5,0,22,0
S024,2026-03-15 11:16:00,Software Engineering,2,2,4,5,3,2,3,2,4,2,2,5,3,15,0
S025,2026-03-18 11:48:00,Data Science,2,2,2,2,3,2,4,4,3,2,3,0,1,25,0
S026,2026-03-21 14:05:00,Cloud Computing,3,3,4,5,5,5,4,2,3,3,2,4,0,6,0
S027,2026-03-24 12:06:00,Artificial Intelligence,5,5,5,5,4,4,5,5,4,4,0,8,4,12,1
S028,2026-03-27 10:38:00,Software Engineering,4,4,5,3,5,5,5,5,5,5,11,4,4,8,1
S029,2026-03-30 12:46:00,Data Science,5,4,5,5,4,4,5,4,5,5,9,5,3,28,1
S030,2026-04-02 13:03:00,Cloud Computing,4,3,2,2,3,1,3,3,3,2,2,0,0,15,0
S031,2026-04-05 15:51:00,Artificial Intelligence,3,3,2,2,3,3,2,1,1,1,12,6,1,11,0
S032,2026-04-08 12:48:00,Software Engineering,4,5,5,3,5,4,5,5,5,5,9,8,3,35,1
S033,2026-04-11 11:51:00,Data Science,4,4,3,2,3,4,4,3,3,3,1,4,1,17,0
S034,2026-04-14 09:31:00,Cloud Computing,3,2,4,3,5,4,4,2,5,5,5,8,3,26,1
S035,2026-04-17 13:09:00,Artificial Intelligence,4,4,2,3,4,4,2,2,3,3,6,8,4,14,1
S036,2026-04-20 14:03:00,Software Engineering,3,3,4,2,4,4,4,3,4,3,9,8,0,25,1
S037,2026-04-23 11:22:00,Data Science,1,1,2,2,2,1,2,2,2,1,7,5,2,24,0
S038,2026-04-26 11:02:00,Cloud Computing,5,3,5,3,4,4,5,3,4,2,3,3,0,9,0
S039,2026-04-29 16:55:00,Artificial Intelligence,4,2,3,3,3,3,3,4,2,1,4,1,4,1,0
S040,2026-05-02 12:39:00,Software Engineering,5,5,4,2,4,2,4,5,3,4,12,0,2,34,1
S041,2026-05-05 15:15:00,Data Science,3,4,4,2,5,5,3,3,4,4,11,2,3,11,1
S042,2026-05-08 11:52:00,Cloud Computing,5,5,5,5,4,4,4,2,4,4,3,7,4,24,1
S043,2026-05-11 13:24:00,Artificial Intelligence,3,3,2,2,2,2,2,2,2,3,11,4,4,0,0
S044,2026-05-14 11:36:00,Software Engineering,2,1,4,4,3,3,4,4,2,1,4,3,3,15,0
S045,2026-05-17 10:01:00,Data Science,5,5,4,4,4,4,5,5,4,4,3,1,1,20,0
S046,2026-05-20 10:04:00,Cloud Computing,3,2,4,4,3,1,3,3,3,3,2,4,0,34,0
S047,2026-05-23 09:26:00,Artificial Intelligence,3,1,4,3,5,3,3,4,4,4,7,7,2,11,0
S048,2026-05-26 13:45:00,Software Engineering,5,3,3,3,5,3,3,2,4,5,4,1,1,7,0
S049,2026-05-29 11:15:00,Data Science,5,5,5,5,5,5,5,5,4,5,11,1,1,13,1
S050,2026-06-01 11:27:00,Cloud Computing,2,1,2,3,1,1,1,1,3,4,7,4,0,14,0
S051,2026-06-04 10:24:00,Artificial Intelligence,5,3,4,4,4,4,3,4,4,3,4,2,0,3,0
S052,2026-06-07 14:09:00,Software Engineering,4,4,3,3,4,4,4,5,5,5,1,0,3,20,0
S053,2026-06-10 13:59:00,Data Science,3,1,4,5,3,3,3,2,5,5,10,7,2,11,1
S054,2026-06-13 15:56:00,Cloud Computing,5,3,5,5,5,5,5,3,5,5,6,7,2,25,1
S055,2026-06-16 13:25:00,Artificial Intelligence,3,1,2,2,2,1,3,4,1,2,7,6,0,12,0
S056,2026-06-19 15:03:00,Software Engineering,5,5,3,2,4,5,4,4,5,5,1,0,4,15,0
S057,2026-06-22 13:20:00,Data Science,3,4,2,3,4,2,3,1,4,2,10,2,3,18,0
S058,2026-06-25 15:35:00,Cloud Computing,5,5,5,4,5,5,4,4,4,5,8,2,0,17,1
S059,2026-06-28 15:30:00,Artificial Intelligence,5,5,5,3,5,5,5,4,5,5,7,5,2,35,1
S060,2026-07-01 13:13:00,Software Engineering,5,5,5,4,5,4,5,3,5,5,11,6,3,9,1
S061,2026-07-04 15:40:00,Data Science,2,3,2,1,3,1,3,1,2,2,10,2,0,30,0
S062,2026-07-07 10:56:00,Cloud Computing,4,5,5,3,4,5,5,5,5,5,0,1,1,18,0
S063,2026-07-10 10:14:00,Artificial Intelligence,3,1,1,1,2,2,1,1,2,1,4,5,2,27,0
S064,2026-07-13 14:26:00,Software Engineering,4,5,3,2,3,1,4,5,3,3,9,2,1,29,0
S065,2026-07-16 12:53:00,Data Science,5,5,3,3,4,5,4,2,5,5,9,4,3,16,1
S066,2026-07-19 13:49:00,Cloud Computing,4,4,5,3,4,4,4,5,4,4,0,6,2,0,0
S067,2026-07-22 15:43:00,Artificial Intelligence,3,3,2,3,2,1,2,3,2,1,10,1,0,19,0
S068,2026-07-25 13:16:00,Software Engineering,4,5,5,4,4,4,5,5,5,4,2,8,2,33,1
S069,2026-07-28 09:46:00,Data Science,4,4,5,5,4,2,5,3,4,3,10,6,4,23,1
S070,2026-07-31 11:47:00,Cloud Computing,4,4,4,4,5,5,5,5,4,3,7,0,4,35,1
S071,2026-08-03 10:09:00,Artificial Intelligence,2,2,3,3,2,1,2,1,3,3,1,1,1,34,0
S072,2026-08-06 12:47:00,Software Engineering,5,5,5,5,5,5,4,4,5,5,0,5,1,28,1
S073,2026-08-09 09:25:00,Data Science,3,1,3,4,3,1,4,4,3,1,7,1,1,1,0
S074,2026-08-12 10:06:00,Cloud Computing,4,3,4,2,4,5,4,3,4,3,12,0,2,9,0
S075,2026-08-15 15:19:00,Artificial Intelligence,4,2,3,2,3,3,4,5,4,2,2,4,0,8,0
S076,2026-08-18 14:29:00,Software Engineering,4,2,5,5,5,5,4,4,5,5,0,8,2,29,1
S077,2026-08-21 11:20:00,Data Science,1,1,3,3,1,1,3,1,1,1,9,2,0,8,0
S078,2026-08-24 16:03:00,Cloud Computing,5,5,4,4,5,3,3,4,4,4,7,3,3,21,1
S079,2026-08-27 12:41:00,Artificial Intelligence,5,5,4,4,5,5,5,5,5,5,1,1,0,5,0
S080,2026-08-30 13:55:00,Software Engineering,2,1,1,2,2,1,3,3,3,1,4,4,2,6,0
